category,region,mnari,pcfci,avg_kcalories,avg_ca(mg),avg_folate(mcg),avg_iron(mg),avg_niacin(mg),avg_riboflavin(mg),avg_thiamin(mg),avg_vita(mcg),avg_vitb12(mcg),avg_vitb6(mg),avg_zinc(mg),vcci,maize(mt),rice(mt),sorghum(mt),cassava(mt),millet(mt),commodity,price
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,10.31
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,38.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,11.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,21.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),33.63
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,35.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,76.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,21.21
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),36.67
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,39.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Yam,85.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,9.15
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,20.88
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,40.63
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),36.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Sorghum,40.0
